Date,Open,High,Low,Close,Volume
2019-10-29,271.869995,275.160004,270.350006,271.160004,30100
2019-10-30,270.829987,276.459991,269.000000,275.779999,29500
2019-10-31,276.399994,276.399994,270.000000,274.359985,35300
2019-11-01,273.630005,276.420013,270.619995,273.000000,26800
2019-11-04,273.000000,274.649994,260.829987,262.100006,44800
2019-11-05,262.790009,267.230011,256.500000,265.200012,60100
2019-11-06,266.000000,276.250000,262.940002,266.700012,128900
2019-11-07,268.489990,271.970001,261.920013,264.850006,43000
2019-11-08,265.500000,273.200012,264.500000,272.149994,54100
2019-11-11,272.690002,278.470001,269.079987,272.459991,51300
2019-11-12,272.600006,277.500000,270.329987,276.100006,45700
2019-11-13,275.350006,276.500000,269.820007,274.149994,40200
2019-11-14,273.670013,277.989990,272.750000,275.309998,32600
2019-11-15,276.279999,276.279999,271.489990,275.000000,34000
2019-11-18,274.959991,277.329987,271.510010,272.750000,35300
2019-11-19,273.049988,276.579987,272.660004,273.049988,28400
2019-11-20,273.130005,277.000000,268.100006,270.910004,43200
2019-11-21,271.079987,284.970001,270.000000,284.239990,70300
2019-11-22,284.859985,284.950012,271.779999,271.779999,55500
2019-11-25,271.279999,275.959991,271.279999,271.910004,43300
2019-11-26,273.779999,276.130005,271.910004,273.540009,30200
2019-11-27,273.899994,275.450012,272.049988,274.959991,18200
2019-11-29,275.019989,275.019989,270.040009,270.160004,11100
2019-12-02,270.000000,271.000000,262.899994,269.640015,44300
2019-12-03,268.839996,271.799988,268.480011,270.029999,28800
2019-12-04,270.709991,276.700012,270.709991,276.070007,28100
2019-12-05,276.179993,278.000000,271.769989,273.910004,30300
2019-12-06,276.690002,279.350006,272.440002,278.459991,32300
2019-12-09,275.670013,281.929993,273.489990,274.299988,27700
